brand,title,rating,rating_count,price,recent_sales,unit_price
Crest,"Crest 3D White Advanced Luminous Mint Teeth Whitening Toothpaste, Crest Toothpaste, 3.7 oz Pack of 4 - Helps Remove Surface Stains, Whitens Teeth, Strengthens Tooth Enamel, Protects Against Cavities",4.8,93632,$14.99,100000,$1.01
Crest,"Crest 3D White Advanced Luminous Mint Teeth Whitening Toothpaste, Crest Toothpaste, 3.7 oz Pack of 4 - Helps Remove Surface Stains, Whitens Teeth, Strengthens Tooth Enamel, Protects Against Cavities",4.8,93632,$14.99,100000,$1.01
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Crest 3D White Brilliance Toothpaste, Radiant Mint, 3.3 oz, Pack of 3",4.8,783,$12.97,10000,$1.31
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Crest 3D White Brilliance Toothpaste, Radiant Mint, 3.3 oz, Pack of 3",4.8,783,$12.97,10000,$1.31
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Crest 3D White Brilliance Toothpaste, Radiant Mint, 3.3 oz, Pack of 3",4.8,783,$12.97,10000,$1.31
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Crest 3D White Brilliance Toothpaste, Radiant Mint, 3.3 oz, Pack of 3",4.8,783,$12.97,10000,$1.31
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Crest 3D White Brilliance Toothpaste, Radiant Mint, 3.3 oz, Pack of 3",4.8,783,$12.97,10000,$1.31
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Radiant Mint, 3.3 oz, Pack of 2",4.6,719,$8.97,10000,$1.36
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Radiant Mint, 3.3 oz, Pack of 2",4.6,719,$8.97,10000,$1.36
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Radiant Mint, 3.3 oz, Pack of 2",4.6,719,$8.97,10000,$1.36
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Radiant Mint, 3.3 oz, Pack of 2",4.6,719,$8.97,10000,$1.36
Crest,"Crest 3D White Advanced Teeth Whitening Toothpaste, Radiant Mint, 3.3 oz, Pack of 2",4.6,719,$8.97,10000,$1.36
Crest,"Crest 3D White Brilliance Bright Mint Teeth Whitening Toothpaste, 4.3 oz Pack of 3, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention, Whiter Teeth in 3 Days",4.6,85,$20.99,3000,$1.63
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
Crest,"Crest 3D White Brilliance Vibrant Peppermint Teeth Whitening Toothpaste, 4.6 oz Pack of 3, Anticavity Fluoride Toothpaste, 100% More Surface Stain Removal, 24 Hour Active Stain Prevention",4.8,1529,$18.97,20000,$1.37
